playerID,yearID
aaronha01,1955
aaronha01,1956
aaronha01,1957
aaronha01,1958
aaronha01,1959
aaronha01,1959
aaronha01,1960
aaronha01,1960
aaronha01,1961
aaronha01,1961
aaronha01,1962
aaronha01,1962
aaronha01,1963
aaronha01,1964
aaronha01,1965
aaronha01,1966
aaronha01,1967
aaronha01,1968
aaronha01,1969
aaronha01,1970
aaronha01,1971
aaronha01,1972
aaronha01,1973
aaronha01,1974
aaronha01,1975
aasedo01,1986
abbotan01,2025
abernro01,1947
abramcj01,2024
abreubo01,2004
abreubo01,2005
abreujo02,2014
abreujo02,2018
abreujo02,2019
acunaro01,2019
acunaro01,2021
acunaro01,2022
acunaro01,2023
acunaro01,2025
adamja01,2025
adamsac01,1943
adamsem01,1940
adcocjo01,1960
adcocjo01,1960
ageeto01,1966
ageeto01,1967
aguilje01,2018
aguilri01,1991
aguilri01,1992
aguilri01,1993
aguirha01,1962
albieoz01,2018
albieoz01,2021
albieoz01,2023
alcansa01,2019
alcansa01,2022
alexado01,1988
alfoned01,2000
allendi01,1965
allendi01,1966
allendi01,1967
allendi01,1970
allendi01,1972
allendi01,1973
allendi01,1974
allenjo02,1938
allenne02,1936
allenne02,1937
allenne02,1938
allenne02,1941
allenne02,1943
alleyge01,1967
alleyge01,1968
allisbo01,1959
allisbo01,1963
allisbo01,1964
alomaro01,1990
alomaro01,1991
alomaro01,1992
alomaro01,1993
alomaro01,1994
alomaro01,1995
alomaro01,1996
alomaro01,1997
alomaro01,1998
alomaro01,1999
alomaro01,2000
alomaro01,2001
alomasa01,1970
alomasa02,1990
alomasa02,1991
alomasa02,1992
alomasa02,1996
alomasa02,1997
alomasa02,1998
alonspe01,2019
alonspe01,2022
alonspe01,2023
alonspe01,2024
alonspe01,2025
alonsyo01,2017
aloufe01,1962
aloufe01,1966
aloufe01,1968
alouma01,1968
alouma01,1969
aloumo01,1994
aloumo01,1997
aloumo01,1998
aloumo01,2001
aloumo01,2004
aloumo01,2005
altmage01,1961
altmage01,1961
altmage01,1962
altuvjo01,2012
altuvjo01,2014
altuvjo01,2015
altuvjo01,2016
altuvjo01,2017
altuvjo01,2018
altuvjo01,2021
altuvjo01,2022
altuvjo01,2024
alvarhe01,2014
alvarpe01,2013
alvarwi01,1994
alvaryo01,2022
alvaryo01,2023
alvaryo01,2024
alvisma01,1965
alvisma01,1967
anderbr01,1992
anderbr01,1996
anderbr01,1997
anderga01,2002
anderga01,2003
anderga01,2005
anderti01,2021
anderti01,2022
anderty01,2022
anderty01,2024
andremi01,1969
andrena01,1944
andruel01,2010
andruel01,2012
andujjo01,1977
andujjo01,1979
andujjo01,1984
andujjo01,1985
antonjo02,1954
antonjo02,1956
antonjo02,1957
antonjo02,1958
antonjo02,1959
antonjo02,1959
aparilu01,1958
aparilu01,1959
aparilu01,1959
aparilu01,1960
aparilu01,1960
aparilu01,1961
aparilu01,1962
aparilu01,1962
aparilu01,1963
aparilu01,1964
aparilu01,1970
aparilu01,1971
aparilu01,1972
appieke01,1995
applilu01,1936
applilu01,1939
applilu01,1940
applilu01,1941
applilu01,1943
applilu01,1946
applilu01,1947
arandjo01,2025
archech01,2015
archech01,2017
arciaor01,2023
arenano01,2015
arenano01,2016
arenano01,2017
arenano01,2018
arenano01,2019
arenano01,2021
arenano01,2022
arenano01,2023
armasto01,1981
armasto01,1984
armoubu01,1941
armoubu01,1944
armoubu01,1945
armoubu01,1947
armstja01,1990
arnolpa01,1935
arnovmo01,1939
arozara01,2023
arozara01,2025
arraelu01,2022
arraelu01,2023
arraelu01,2024
arrieja01,2016
arrojro01,1998
arroybr01,2006
arroylu01,1955
arroylu01,1961
ashburi01,1948
ashburi01,1951
ashburi01,1953
ashburi01,1958
ashburi01,1962
ashbyan01,1998
ashbyan01,1999
atwelto01,1952
aurilri01,2001
ausmubr01,1999
austifr01,1945
austifr01,1946
austifr01,1947
austifr01,1948
averiea01,1933
averiea01,1934
averiea01,1935
averiea01,1936
averiea01,1937
averiea01,1938
averyst01,1993
avilaal01,2011
avilabo01,1952
avilabo01,1954
avilabo01,1955
aybarer01,2014
azcuejo01,1968
baergca01,1992
baergca01,1993
baergca01,1995
baezda01,2005
baezja01,2018
baezja01,2019
baezja01,2025
bagbyji02,1942
bagbyji02,1943
bagweje01,1994
bagweje01,1996
bagweje01,1997
bagweje01,1999
bailean01,2009
bailean01,2010
baileed01,1956
baileed01,1957
baileed01,1960
baileed01,1960
baileed01,1961
baileed01,1963
baineha01,1985
baineha01,1986
baineha01,1987
baineha01,1989
baineha01,1991
baineha01,1999
bakerdu01,1981
bakerdu01,1982
bakerge02,1955
baldwja01,2000
balfogr01,2013
bandosa01,1969
bandosa01,1972
bandosa01,1973
bandosa01,1974
bankhda01,1941
bankhda01,1946
bankhda01,1947
bankhfr01,1942
bankhsa01,1933
bankhsa01,1934
bankhsa01,1936
bankhsa01,1938
bankhsa01,1942
bankhsa01,1943
bankhsa01,1943
bankhsa01,1944
bankhsa01,1945
bankhsa01,1946
bankser01,1955
bankser01,1956
bankser01,1957
bankser01,1958
bankser01,1959
bankser01,1959
bankser01,1960
bankser01,1960
bankser01,1961
bankser01,1962
bankser01,1962
bankser01,1965
bankser01,1967
bankser01,1969
bannifl01,1982
barbebu01,1940
barbest01,1963
barbest01,1966
barfije01,1986
barkele01,1981
barkema01,1940
barkema01,1943
barkema01,1945
barkema01,1948
barnema01,2021
barneve01,1937
barnhda01,1941
barnhda01,1942
barnhda01,1943
barnhda01,1943
barnhda01,1943
barnhda01,1945
barnhda01,1948
barrere01,1945
bartedi01,1933
bartedi01,1937
bartlja01,2009
bassepe01,1937
bassepe01,1939
bassepe01,1939
bassepe01,1941
bassepe01,1945
bassepe01,1947
bassepe01,1948
bassich01,2021
basske01,1986
batisto01,2000
batisto01,2002
batteea01,1962
batteea01,1962
batteea01,1963
batteea01,1965
batteea01,1966
bauerha01,1952
bauerha01,1953
bauerha01,1954
bauertr01,2018
bautife01,2023
bautijo02,2010
bautijo02,2011
bautijo02,2012
bautijo02,2013
bautijo02,2014
bautijo02,2015
bayja01,2005
bayja01,2006
bayja01,2009
baylodo01,1979
beckegl01,1969
beckegl01,1970
beckegl01,1971
beckegl01,1972
beckejo02,2007
beckejo02,2009
beckejo02,2011
beckro01,1993
beckro01,1994
beckro01,1997
bednada01,2022
bednada01,2023
bedrost01,1987
belanma01,1976
bellbe01,1937
bellbu01,1973
bellbu01,1980
bellbu01,1981
bellbu01,1982
bellbu01,1984
bellco99,1933
bellco99,1934
bellco99,1935
bellco99,1936
bellco99,1942
bellco99,1943
bellco99,1944
bellco99,1945
belleal01,1993
belleal01,1994
belleal01,1995
belleal01,1996
belleal01,1997
bellga01,1960
bellga01,1960
bellga01,1966
bellga01,1968
bellge02,1987
bellge02,1990
bellge02,1991
bellgu01,1953
bellgu01,1954
bellgu01,1956
bellgu01,1957
bellhe01,2009
bellhe01,2010
bellhe01,2011
bellico01,2017
bellico01,2019
belliro01,2004
bellja01,1993
bellja01,1999
belljo02,2019
beltbr01,2016
beltrad01,2010
beltrad01,2011
beltrad01,2012
beltrad01,2014
beltrca01,2004
beltrca01,2005
beltrca01,2006
beltrca01,2007
beltrca01,2009
beltrca01,2011
beltrca01,2012
beltrca01,2013
beltrca01,2016
benchjo01,1968
benchjo01,1969
benchjo01,1970
benchjo01,1971
benchjo01,1972
benchjo01,1973
benchjo01,1974
benchjo01,1975
benchjo01,1976
benchjo01,1977
benchjo01,1978
benchjo01,1979
benchjo01,1980
benchjo01,1983
benedbr01,1981
benedbr01,1983
benesan01,1993
beninan01,2022
benitar01,2003
benitar01,2004
benjaje01,1937
benjaje01,1943
benjaje01,1943
benjaje01,1945
benjaje01,1945
bennebr01,1940
bensoge01,1940
bensoge01,1943
bensoge01,1945
bensoge01,1946
bentoal01,1941
bentoal01,1942
bereja01,1994
bergewa01,1933
bergewa01,1934
bergewa01,1935
bergewa01,1936
berkmla01,2001
berkmla01,2002
berkmla01,2004
berkmla01,2006
berkmla01,2008
berkmla01,2011
berrayo01,1948
berrayo01,1949
berrayo01,1950
berrayo01,1951
berrayo01,1952
berrayo01,1953
berrayo01,1954
berrayo01,1955
berrayo01,1956
berrayo01,1957
berrayo01,1958
berrayo01,1959
berrayo01,1959
berrayo01,1960
berrayo01,1960
berrayo01,1961
berrayo01,1961
berrayo01,1962
berrijo01,2018
berrijo01,2019
berryke01,1967
betande01,2014
betande01,2015
betande01,2016
betande01,2017
bettsmo01,2016
bettsmo01,2017
bettsmo01,2018
bettsmo01,2019
bettsmo01,2021
bettsmo01,2022
bettsmo01,2023
bettsmo01,2024
bibbsra01,1937
bibbyji01,1980
bichebo01,2021
bichebo01,2023
bicheda01,1994
bicheda01,1995
bicheda01,1996
bicheda01,1998
bickfve01,1949
biebesh01,2019
biebesh01,2021
biggicr01,1991
biggicr01,1992
biggicr01,1994
